Designator,Mid X,Mid Y,Rotation,Layer
C1,-229.8377,14.732,180.0,top
C10,-229.8377,-51.1048,180.0,top
C100,-185.9465,-7.2136,180.0,top
C101,-185.9465,-14.5288,180.0,top
C102,-185.9465,-21.844,180.0,top
C103,-185.9465,-29.1592,180.0,top
C104,-185.9465,-36.4744,180.0,top
C105,-185.9465,-43.7896,180.0,top
C106,-185.9465,-51.1048,180.0,top
C107,-185.9465,-58.42,180.0,top
C108,-185.9465,-65.7352,180.0,top
C109,-185.9465,-73.0504,180.0,top
C11,-229.8377,-58.42,180.0,top
C110,-185.9465,-80.3656,180.0,top
C111,-185.9465,-87.6808,180.0,top
C112,-185.9465,-94.996,180.0,top
C113,-178.6313,14.732,180.0,top
C114,-178.6313,7.4168,180.0,top
C115,-178.6313,0.1016,180.0,top
C116,-178.6313,-7.2136,180.0,top
C117,-178.6313,-14.5288,180.0,top
C118,-178.6313,-21.844,180.0,top
C119,-178.6313,-29.1592,180.0,top
C12,-229.8377,-65.7352,180.0,top
C120,-178.6313,-36.4744,180.0,top
C121,-178.6313,-43.7896,180.0,top
C122,-178.6313,-51.1048,180.0,top
C123,-178.6313,-58.42,180.0,top
C124,-178.6313,-65.7352,180.0,top
C125,-178.6313,-73.0504,180.0,top
C126,-178.6313,-80.3656,180.0,top
C127,-178.6313,-87.6808,180.0,top
C128,-178.6313,-94.996,180.0,top
C129,-171.3161,14.732,180.0,top
C13,-229.8377,-73.0504,180.0,top
C130,-171.3161,7.4168,180.0,top
C131,-171.3161,0.1016,180.0,top
C132,-171.3161,-7.2136,180.0,top
C133,-171.3161,-14.5288,180.0,top
C134,-171.3161,-21.844,180.0,top
C135,-171.3161,-29.1592,180.0,top
C136,-171.3161,-36.4744,180.0,top
C137,-171.3161,-43.7896,180.0,top
C138,-171.3161,-51.1048,180.0,top
C139,-171.3161,-58.42,180.0,top
C14,-229.8377,-80.3656,180.0,top
C140,-171.3161,-65.7352,180.0,top
C141,-171.3161,-73.0504,180.0,top
C142,-171.3161,-80.3656,180.0,top
C143,-171.3161,-87.6808,180.0,top
C144,-171.3161,-94.996,180.0,top
C145,-164.0009,14.732,180.0,top
C146,-164.0009,7.4168,180.0,top
C147,-164.0009,0.1016,180.0,top
C148,-164.0009,-7.2136,180.0,top
C149,-164.0009,-14.5288,180.0,top
C15,-229.8377,-87.6808,180.0,top
C150,-164.0009,-21.844,180.0,top
C151,-164.0009,-29.1592,180.0,top
C152,-164.0009,-36.4744,180.0,top
C153,-164.0009,-43.7896,180.0,top
C154,-164.0009,-51.1048,180.0,top
C155,-164.0009,-58.42,180.0,top
C156,-164.0009,-65.7352,180.0,top
C157,-164.0009,-73.0504,180.0,top
C158,-164.0009,-80.3656,180.0,top
C159,-164.0009,-87.6808,180.0,top
C16,-229.8377,-94.996,180.0,top
C160,-164.0009,-94.996,180.0,top
C161,-156.6857,14.732,180.0,top
C162,-156.6857,7.4168,180.0,top
C163,-156.6857,0.1016,180.0,top
C164,-156.6857,-7.2136,180.0,top
C165,-156.6857,-14.5288,180.0,top
C166,-156.6857,-21.844,180.0,top
C167,-156.6857,-29.1592,180.0,top
C168,-156.6857,-36.4744,180.0,top
C169,-156.6857,-43.7896,180.0,top
C17,-222.5225,14.732,180.0,top
C170,-156.6857,-51.1048,180.0,top
C171,-156.6857,-58.42,180.0,top
C172,-156.6857,-65.7352,180.0,top
C173,-156.6857,-73.0504,180.0,top
C174,-156.6857,-80.3656,180.0,top
C175,-156.6857,-87.6808,180.0,top
C176,-156.6857,-94.996,180.0,top
C177,-149.3705,14.732,180.0,top
C178,-149.3705,7.4168,180.0,top
C179,-149.3705,0.1016,180.0,top
C18,-222.5225,7.4168,180.0,top
C180,-149.3705,-7.2136,180.0,top
C181,-149.3705,-14.5288,180.0,top
C182,-149.3705,-21.844,180.0,top
C183,-149.3705,-29.1592,180.0,top
C184,-149.3705,-36.4744,180.0,top
C185,-149.3705,-43.7896,180.0,top
C186,-149.3705,-51.1048,180.0,top
C187,-149.3705,-58.42,180.0,top
C188,-149.3705,-65.7352,180.0,top
C189,-149.3705,-73.0504,180.0,top
C19,-222.5225,0.1016,180.0,top
C190,-149.3705,-80.3656,180.0,top
C191,-149.3705,-87.6808,180.0,top
C192,-149.3705,-94.996,180.0,top
C193,-142.0553,14.732,180.0,top
C194,-142.0553,7.4168,180.0,top
C195,-142.0553,0.1016,180.0,top
C196,-142.0553,-7.2136,180.0,top
C197,-142.0553,-14.5288,180.0,top
C198,-142.0553,-21.844,180.0,top
C199,-142.0553,-29.1592,180.0,top
C2,-229.8377,7.4168,180.0,top
C20,-222.5225,-7.2136,180.0,top
C200,-142.0553,-36.4744,180.0,top
C201,-142.0553,-43.7896,180.0,top
C202,-142.0553,-51.1048,180.0,top
C203,-142.0553,-58.42,180.0,top
C204,-142.0553,-65.7352,180.0,top
C205,-142.0553,-73.0504,180.0,top
C206,-142.0553,-80.3656,180.0,top
C207,-142.0553,-87.6808,180.0,top
C208,-142.0553,-94.996,180.0,top
C209,-134.7401,14.732,180.0,top
C21,-222.5225,-14.5288,180.0,top
C210,-134.7401,7.4168,180.0,top
C211,-134.7401,0.1016,180.0,top
C212,-134.7401,-7.2136,180.0,top
C213,-134.7401,-14.5288,180.0,top
C214,-134.7401,-21.844,180.0,top
C215,-134.7401,-29.1592,180.0,top
C216,-134.7401,-36.4744,180.0,top
C217,-134.7401,-43.7896,180.0,top
C218,-134.7401,-51.1048,180.0,top
C219,-134.7401,-58.42,180.0,top
C22,-222.5225,-21.844,180.0,top
C220,-134.7401,-65.7352,180.0,top
C221,-134.7401,-73.0504,180.0,top
C222,-134.7401,-80.3656,180.0,top
C223,-134.7401,-87.6808,180.0,top
C224,-134.7401,-94.996,180.0,top
C225,-127.4249,14.732,180.0,top
C226,-127.4249,7.4168,180.0,top
C227,-127.4249,0.1016,180.0,top
C228,-127.4249,-7.2136,180.0,top
C229,-127.4249,-14.5288,180.0,top
C23,-222.5225,-29.1592,180.0,top
C230,-127.4249,-21.844,180.0,top
C231,-127.4249,-29.1592,180.0,top
C232,-127.4249,-36.4744,180.0,top
C233,-127.4249,-43.7896,180.0,top
C234,-127.4249,-51.1048,180.0,top
C235,-127.4249,-58.42,180.0,top
C236,-127.4249,-65.7352,180.0,top
C237,-127.4249,-73.0504,180.0,top
C238,-127.4249,-80.3656,180.0,top
C239,-127.4249,-87.6808,180.0,top
